,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
37,LuzEmperaWisin,#Hurricane #prediction Marcan 2 huracanes o #tifones del lado del #pacífico WITH FORCE osea de categoría importante ...,2020-08-13 08:02:16+00:00,1,1,,#Hurricane #prediction #tifones #pac,
38,athon_gallera,Like a Hurricane - Neil Young,2020-08-12 15:01:37+00:00,0,0,,,
39,arcticpablom,"i really need a major hurricane, this season is boring me",2020-08-11 22:42:35+00:00,0,0,,,
40,lumarschhausen,You wrecked my whole world when you came and hit me like a hurricane,2020-08-11 16:23:48+00:00,0,2,,,
41,flordedrama,"Entonces Florencia PIENSA uff que aburrimiento man podría empezar una de las tantas series nuevas que tengo para ver, en su lugar veré Hurricane Bianca por 6ta vez. Sí, eso haré.",2020-08-10 03:55:12+00:00,0,1,,,
42,LuzEmperaWisin,#Hurricane #predicción del 26/07 un huracàn àrea BCN Baja California dentro de éstas 13semanas :: #TropicalStorm #ELIDA EXPECTED TO BECOME ON MONDAY by HURRICAN #BajaCalifornia,2020-08-10 02:06:22+00:00,0,2,,#Hurricane #predicci #TropicalStorm #ELIDA #BajaCalifornia,
43,BostonStrongBR,"Segundo @bruins_stats A última vez que a linha formada por Bergeron,Marchand e Pastrnak marcou um gol no 5 contra 5 nos playoffs foi contra os Hurricanes ano passado #BrasilTemNHL #NHLBruins",2020-08-09 18:55:01+00:00,0,0,@bruins_stats,#BrasilTemNHL #NHLBruins #NHLBruins,
44,LuzEmperaWisin,"#Huracàn #predicción Marca CON ""FUERZA"" UN #HURRICANE OSEA UNO DE CATEGORÍA IMPORTANTE ",2020-08-09 01:27:52+00:00,0,1,,#Hurac #predicci #HURRICANE,
45,nandosiol,"Rádio tocando ""Hurricane"" de Bob Dylan e eu prestando atenção realmente ao som e achei bom ,nunca liguei muito embora respeite demais a história e etc",2020-08-08 15:54:59+00:00,0,0,,,
46,Gandaness_,Nessa Stanley Cup run eu sou 70% Carolina Hurricanes 15% Columbus Blue Jackets 10% Vegas Golden Knights 5% o sucesso e felicidade de Alex Ovechkin,2020-08-05 03:17:46+00:00,0,0,,,
47,daydotcom,"Day’s forecast: Sunshine mixed with a little hurricane. #quaranqueen @Campinas, Sao Paulo https://www.instagram.com/p/CDeM54MnwI6/?igshid=16xhpahq1n6r2",2020-08-04 15:09:40+00:00,0,0,,#quaranqueen,
48,Meninastrend1,Old,2020-08-04 02:32:05+00:00,0,1,,,
49,fabiocampuz,#NBAnaESPN Carreta Hurricane… uahhhhh!!!,2020-08-04 02:14:15+00:00,0,0,,#NBAnaESPN,
50,Onofrx,Aqui está uma música para você… Hurricane de Halsey ,2020-08-04 01:59:41+00:00,0,6,,,
51,joaomarc00,hurricane - thirty seconds to mars,2020-08-03 11:54:44+00:00,0,0,,,
52,pedorlz,"Acabei de perceber que ""Hurricane"" do Bob Dylan tem 8:32 minutos. Vou fingir que não ouvi 15 mil vezes essa música sem perceber que ela era tão longa ",2020-08-03 10:22:28+00:00,0,0,,,
53,lanadelreyswife,Looking at me then suddenly I'm in love I'm in love love in hurricane I'm in love I'm in love love in a hurricane I've been bad I've been wrong playing a dangerous game I'm in love I'm in love love in a hurricane hurricane hurricane,2020-08-02 20:14:55+00:00,0,0,,,
54,edwardprocopio,"Tô ouvindo Rock You Like a Hurricane e fiquei com saudades da Copa do Mundo, torcendo como um hooligan verdadeiro para a Inglaterra e cantando Rock You Like Harry Kane muito doido",2020-08-02 17:27:22+00:00,0,0,,,
55,JaackFraanco,"Maybe, I'm a runaway train Maybe, I'm a feather in a hurricane Maybe it's a long play game But maybe that's a good thing Cause I will be found",2020-08-02 17:10:45+00:00,0,0,,,
56,RafaelBiazatti_,can it be a hurricane again?,2020-08-02 13:25:02+00:00,0,0,,,
57,stefshiddles,Hurricane de Hamilton toca no aleatório: Eu: *choro* ,2020-08-02 02:07:40+00:00,0,1,,,
58,leo_ronnie_dio,Faith,2020-08-02 00:43:12+00:00,0,2,,,
59,SerGroovey,At least something normal: A hurricane hitting Florida.,2020-08-01 20:38:22+00:00,0,1,,,
60,LuzEmperaWisin,#HurricAne #prediction del 24/06 marcaba un #huracàn en àrea #Haiti dentro de las 10 semanas =&gt; 5 semanas después #ISAÍAS POR ÀREA #ISLASTURCAS #BAHAMAS DIRECCIÓN #MIAMI 31/07,2020-07-31 22:50:41+00:00,0,1,,#HurricAne #prediction #hurac #Haiti #ISA #ISLASTURCAS #BAHAMAS #MIAMI,
