User,Text,Date,lat,long
ellensbowen,I am not particularly religious so I am asking the #Catholics #Jews #Evangelicals #Christians #Protesants and #Mormons and anyone else who believes in #God. Do u think #He is sending us a message about the guy in the #WhiteHouse? #hurricanes #earthquakes #fires #tornados #Covid,2020-08-31 18:23:13+00:00,29.683547996075347,-99.23356388027715
gregzillathehun,I used to have that problem with hurricane shutters. Solved it by getting a one-story house ,2020-08-31 18:15:13+00:00,30.23321835259548,-98.19592348628521
louisplantgeek,"September will peak hurricane season, so it’s the time to celebrate stalwarts. Our native mahogany is legendarily root-firm, but even the experts vary on how well the limbs themselves—the tree’s canopy, in other… https://www.instagram.com/p/CEkDQifnGZU/?igshid=p33ifjyuxr75",2020-08-31 18:12:14+00:00,28.91308780102354,-102.9842467843556
CamWithDaCam,Please come out and support our Fish Fry this Monday from 2pm-6pm at Girard Park. Mask are required and social distancing will be strictly enforced! Tickets only on eventbrite. A portion of the proceeds will be donated to local victims of Hurricane Laura. https://fishfrywithapurpose.eventbrite.com,2020-08-31 18:11:17+00:00,31.357997825926905,-99.74093975184493
DarkDragon023,"Before i forget, i want to give a personal thanks to the 20+ people who offered there home during an uncertain time when Hurricane Laura was about to reach landfall. No words can describe how much i felt when i asked for help.. thank you -.=.-",2020-08-31 18:06:27+00:00,33.39276067026349,-100.33111670232637
_beenykole_,"Let’s talk about this rain. I’m minding my black ass business. Smack dead during a visit. The sun was out when I went in, it was hurricane Laura when I walked out. No umbrella or nothing. I’m so sad about it too.",2020-08-31 18:06:15+00:00,29.721235543881747,-100.41179473823397
FirstTexasHonda,"We did it! With your help, we've successfully filled a Ridgeline with pet supplies donations! Thanks to all who participated. With an influx of animals from Hurricane Laura, we are certain that @austinpetsalive! will be thrilled when we drop this off. #ClearTheShelters",2020-08-31 18:01:42+00:00,32.041689330531746,-99.91888888611736
FredMoojen,"Hurricane backpack from @Campea_sports #moojen #Campea #backpack #model #soccer #freddymoojen @Montreal, Quebec https://www.instagram.com/p/CEkBwHmD3iq/?igshid=1geb2su1d8vgc",2020-08-31 17:59:03+00:00,29.683224249513238,-96.20315926457309
TMS_Counselor,Hurricane Laura wrecked havoc on Louisiana. There are some rural areas that aren’t getting many resources if any at all! The money in this fund will go back into those communities Please share!https://www.gofundme.com/f/hurricane-laura-rural-louisiana-help-fund?utm_source=customer&amp;utm_medium=copy_link&amp;utm_campaign=p_cf+share-flow-1 #HurricanLaura,2020-08-31 17:53:33+00:00,31.123083646181165,-101.11604911836426
Mark_KellC,"I’m currently doing hurricane duty , so if I’m slow on a reply bare wit me.",2020-08-31 17:52:14+00:00,31.09110684609921,-103.96767825867364
r_serenta,We later traveled to Mobile for our Annual Jr. College Convention. We stayed at the Riverview Hotel which had a great view of the Mobile Bay & Fort Conde. We couldn't see any hurricane damage from where our meetings were held. The seafood was delicious. I remembered Fredrick!,2020-08-31 17:44:24+00:00,30.19817882601128,-106.8849615839801
SknnyWtrCulture,@SknnyWtrCulture &amp; @danco_pliers have partnered with our dealers across the state to collect supplies for those impacted by Hurricane Laura in TX and LA. ⁣ ⁣ If you have the heart and means to give please stop by… https://www.instagram.com/p/CEj_2CZAUX5/?igshid=18mna1rt7kfs9,2020-08-31 17:42:26+00:00,29.854109641237237,-97.45355238892637
KeithPiccard,"Started the day off taking the family on a road trip to Paris, MI. Back story was that this was my wife and I’d 1st honeymoon since Hurricane Emily postpones the 1st one back in 2005. 1st pics are of Gail and I in 05 followed by today’s ",2020-08-31 17:42:25+00:00,31.897050155753362,-95.70019491404565
PhyddleDD,"No more building for me. The ""flood"" didn't flood the house behind me, beside me, the City Hall or Police Station. It was a direct tornado/hurricane hit.",2020-08-31 17:41:45+00:00,30.073325224910704,-101.91334496901175
erikatherealtor,Hurricane laura had my clients very worried ! Come listen in ! ,2020-08-31 17:31:47+00:00,30.24003940972282,-93.29496610567095
TyFred12792,What a joke!!! This protest/hurricane has definitely showed us that he is not ready to be a leader!! ,2020-08-31 17:27:28+00:00,30.75930749475512,-94.89967352212534
conville_savage,Natchitoches Hurricane Laura https://youtu.be/kFYtVdpuYVw via @YouTube,2020-08-31 17:25:33+00:00,30.504642926301656,-96.05881093260525
MrDyslexiaa,How long until we figure out how to make hurricane proof infrastructure ,2020-08-31 17:16:14+00:00,30.821140065203572,-101.07882519355172
yt2639,Ha. You must have missed it. Joe Biden said he feared we weren’t prepared for the hurricane because orange man bad.,2020-08-31 17:14:42+00:00,30.347960565966453,-101.01335144548317
CremRo,Me in hurricane Katrina in 2005,2020-08-31 17:10:02+00:00,28.67673257072722,-99.73016772336766
xCaptainEO,Roster HURRICANE inbound ,2020-08-31 17:09:09+00:00,30.44600931426364,-102.03896615822951
theotherdeepak,The hurricane came. We lost all phone and internet. We borrowed a truck. We drove away to find communications. We found a goat. We talked to the goat. It was dope. Good story bro. W/ @_JVision_ … https://www.instagram.com/p/CEj68VmhTfA/?igshid=14dx1dereyifg,2020-08-31 17:08:08+00:00,30.194414533857877,-99.70849553089691
TweetingYarnie,Trump stole money from FEMA as hurricane was approaching. GOP doesn't want the gov to help people. They want to make Gov small and not give people anything to stay alive because fuck the peasants just make them work. GOP wants to eliminate all but 4 branches of the government.,2020-08-31 17:07:24+00:00,29.915269430501965,-95.7725511679933
mo2dmax,"Between the hurricanes and DeSantis, Colorado is probably safer.",2020-08-31 17:06:32+00:00,31.305146772956,-102.82020864148066
BigberthaC,Good afternoon Sir Patrick ,2020-08-31 17:06:08+00:00,32.959076746088115,-95.51404678973934
peteindc,Can we agree that the people that died in the recent hurricane actually died from pre-existing conditions?,2020-08-31 17:05:57+00:00,30.045017674694925,-96.11011070163651
r_serenta,It has been over 40 years since Hurricane Fredrick hit Mobile. https://www.google.com/search?q=what+year+did+Fredrick+hit+Mobile&amp;oq=what+year+did+Fredrick+hit+Mobile&amp;aqs=chrome..69i57j33l2.21802j1j4&amp;client=ms-android-cricket-us-revc&amp;sourceid=chrome-mobile&amp;ie=UTF-8#imgrc=KGmt1r33Xapk4M,2020-08-31 16:59:04+00:00,28.70046009234872,-103.0341704005238
lulex,Hurricane Laura knocks out Enbridge’s offshore natural gas pipeline serving U.S. Gulf of Mexico /via @globeandmail,2020-08-31 16:55:02+00:00,30.155398522462782,-92.72560310692351
deborahleblanc,Thank you :) had to put the brakes on them for 3-4 days due to the hurricane....no power,2020-08-31 16:52:14+00:00,30.466650187880084,-101.21476766274667
Lind4455,"The hurricanes have started. Gosh, Democrats, is this Trump's fault? Get your protesters and BLM out there. If your sucked away, Biden can fix anything. Take Pelosi with you. Wheeler may be beneficial to the flooding. Biden can swallow the water.",2020-08-31 16:43:59+00:00,28.832981726767223,-96.71601064535768
ARaj_Energy,"June US production at 10.4+ mil bpd. A bit below where I thought, and a big part of why prices bounced back part way Got all the way to 11.5 mil bpd pre Hurricane shutins. Beyond this a struggle ahead #OOTT #oil #shale",2020-08-31 16:37:56+00:00,30.69376542325872,-92.52755191600191
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandOR",2020-08-31 16:32:30+00:00,31.775450654134826,-93.78184433296349
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandStayHome",2020-08-31 16:32:24+00:00,32.87943819762776,-104.4401379301529
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #portlandantifa",2020-08-31 16:32:15+00:00,30.255124348257553,-105.92058526477128
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandMurder",2020-08-31 16:32:06+00:00,30.970221508927164,-96.1877483266377
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandOregon",2020-08-31 16:32:00+00:00,32.88724098144778,-101.81032995295658
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandMugshots",2020-08-31 16:31:53+00:00,30.0807012903148,-106.42549871396164
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandMayor",2020-08-31 16:31:47+00:00,31.090498227078605,-96.29893139023625
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandRIOT",2020-08-31 16:31:41+00:00,30.306654681820405,-99.88597481090696
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandProtesters",2020-08-31 16:31:35+00:00,32.9677513441453,-99.54556592307662
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandShooter",2020-08-31 16:31:29+00:00,31.917203762352617,-92.75284114838999
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandProtest",2020-08-31 16:31:24+00:00,33.227357559395955,-103.61206254757704
PaulSRudd39,"The Lord Jesus Christ said, ""There will be three more hurricane in America before the end come."" #PortlandShooting",2020-08-31 16:31:19+00:00,30.30459477817404,-105.93127858179415
