,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
4615,ZachMercy1,"Please pray for those in Lake Charles and the areas in the path of hurricane Laura. I know many who stayed behind not expecting the storm to become so strong, so quickly. Please stay safe y’all. #LakeCharles #HurricaneLaura",2020-08-27 07:48:21+00:00,0,6,,#LakeCharles #HurricaneLaura,
4616,nolimitweezy,Playing COD waiting for this hurricane to hit,2020-08-27 07:47:54+00:00,0,0,,,
4617,holden_holden29,Praying for all in the path of the hurricane AMEN ,2020-08-27 07:47:07+00:00,0,0,,,
4618,Rocwynn_,Prayers to everyone in LA & TX. Man that hurricane looks nasty,2020-08-27 07:46:00+00:00,1,1,,,
4619,Moose_Harris,"Sheets of rain hitting Lafayette #hurricaneseason #hurricane #hurricanelaura #lafayette #louisiana @Lafayette, Louisiana https://www.instagram.com/p/CEYoOMeBbpL/?igshid=19q68137o0ixk",2020-08-27 07:45:26+00:00,0,0,,#hurricaneseason #hurricane #hurricanelaura #lafayette #louisiana,
4620,Minghao_Zhou,"Archived pun: Lake Charles radar ""KLCH"" went out to lunch 1.5 hour ago in hurricane-force sustained winds. ",2020-08-27 07:44:28+00:00,0,0,,,
4621,kaylamc1,Always wanted a room with a view... Never dreamed it would be here in #lakecharleslouisiana as the eye of a Cat 4 hurricane passes over #HurricaneLaura #NBCNews,2020-08-27 07:43:38+00:00,1,16,,#lakecharleslouisiana #HurricaneLaura #NBCNews,
4622,iembot_lch,"At 2:35 AM CDT, 3 ENE Lake Charles [Calcasieu Co, LA] OFFICIAL NWS OBS reports HURRICANE. 93 MPH WIND GUST AND SUSTAINED WINDS TO 76 MPH MEASURED AT CHENAULT AIRPARK. https://mesonet.agron.iastate.edu/lsr/#LCH/202008270735/202008270735",2020-08-27 07:43:28+00:00,0,0,,,
4623,ClayFalls,Wake up with our Brazos Valley This Morning crew for team coverage of Hurricane Laura. Fallon Appleton and I will have coverage from Huntsville. We are here to bring you the latest developments. Stay safe Texas! @KBTXNews @KBTXFallon @KBTXWeather @NWSHouston,2020-08-27 07:42:56+00:00,1,4,@KBTXNews @KBTXFallon @KBTXWeather @NWSHouston,,
4624,Thestylishrebel,I swear my apt is the most zen love nest ever. Even if this hurricane run through this bitch I’m good. 3rd floor shawty lol,2020-08-27 07:42:20+00:00,0,5,,,
4625,iembot_lch,"At 2:34 AM CDT, 1 S Lake Charles [Calcasieu Co, LA] STORM CHASER reports HURRICANE. DAMAGE TO SKYSCRAPER WINDOWS AND ROOFS IN DOWNTOWN LAKE CHARLES. https://mesonet.agron.iastate.edu/lsr/#LCH/202008270734/202008270734",2020-08-27 07:40:44+00:00,0,0,,,
4626,jeffuhray,"Inspired by @TheAstroNick's Turbulence Indicator.... except we're in the SMART Radars parked ON THE GROUND. We're in a safe location, but WOW! #lawx #Hurricane #Laura",2020-08-27 07:40:29+00:00,25,67,@TheAstroNick,#lawx #Hurricane #Laura,
4627,watergatesummer,"I have lived thru hurricanes, floods, earthquakes &amp; used to work/ volunteer Disasters for Red Cross ..did FEMA training with them too....grateful I learned a lot.. that was long ago.",2020-08-27 07:40:23+00:00,0,0,,,
4628,JamesCAMobley7,"https://en.m.wikipedia.org/wiki/Hurricane_Rita AMERICA VIEW LINK ON HURRICANE""rita"" DAT YRS AGO RIPPED THRU LOUISIANA as DIS OVER DRAMATIC HURRICANE LAURA of BLUE by BLUE METEOROLOGIST yet WAS""rita"" RED or BLUE GOD before my LEGAL COMPETITION 4 REDRESS AMERICA 50 STATEWIDE &amp; GOD in HEAVENS ABOVE",2020-08-27 07:40:04+00:00,1,0,,,
4629,tacojaIisco,"Hurricane Laura is a category 4, you know what else is a 4... Season 4 chapter 2 of FORTNITE go get it now!",2020-08-27 07:39:19+00:00,2,2,,,
4630,Weatherbear20,"Since most of the radars around #laura are down and the radars are 150+ miles away, the stadium effect of the hurricane must be showing clear at 18000 ft, but, the hurricane eye is narrower at the sfc. Just my educated meteorological opinion. #radar @StephanieAbrams",2020-08-27 07:38:23+00:00,1,4,@StephanieAbrams,#laura #radar,
4631,ChrisHanson2728,On break at work waiting for the heavy rain and high winds from hurricane Laura to start hitting here! ,2020-08-27 07:38:19+00:00,0,0,,,
4632,Dannytheweather,Hurricane Laura just made landfall can't imagine what going though people mind in Louisiana my heart goes out to everyone that stay there I hope everyone is safe #laurahurricane #wxtwitter,2020-08-27 07:38:17+00:00,0,0,,#laurahurricane #wxtwitter,
4633,texasredwave,"in fairness to officials, hurricanes and tropical storms have a history of behaving erratically as they approach the coast. catastrophic if Laura hit Harris and Galveston county directly.",2020-08-27 07:37:38+00:00,2,6,,,
4634,cindyscott54,I'm stuck on the hurricane 3:36am edt,2020-08-27 07:37:13+00:00,0,0,,,
4635,rach_leffler,Please pray for those in the path of this hurricane ,2020-08-27 07:37:05+00:00,0,0,,,
4636,curtisssmithhh,From hurricane central to tornado central ,2020-08-27 07:36:38+00:00,0,0,,,
4637,duoscottmcon,NOAA HURRICANE CHARLES https://www.star.nesdis.noaa.gov/GOES/floater.php?stormid=AL132020#navLink,2020-08-27 07:36:04+00:00,0,0,,,
4638,omarmuniz9,Hurricane Laura makes landfall in Louisiana as a Category 4 storm ,2020-08-27 07:35:59+00:00,0,0,,,
4639,missourigirl62,Hurricane Laura makes landfall in Louisiana as a Category 4 storm ,2020-08-27 07:35:30+00:00,0,0,,,
4640,missourigirl62,@abcWNN I got goosebumps when @KennethMoton went to a breaking news mode and got tears in my eyes listening to @RobMarciano I know how it is to go through hurricanes. I live right on the ocean in Surfside FL. #prayforLouisianaand the animals,2020-08-27 07:35:21+00:00,0,1,@abcWNN @KennethMoton @RobMarciano,#prayforLouisianaand,
4641,BEATKINGKONG,It’s like I wanna call dis hurricane pussy but I talked shit about Harvey and Harvey shut me tf up ,2020-08-27 07:34:57+00:00,12,59,,,
4642,ocshaffer,Uh. He did sign the order declaring an emergency and assistance will arrive as soon as it ends. Remember Harvey? You will politicize horrible catastrophe to try and push your agenda? Sick. Hey. Remember Obama? He never even put his feet on the ground after hurricanes,2020-08-27 07:34:42+00:00,1,0,,,
4643,LaSleepy_,The number of videos i see of people just sitting in their cars in the middle of a category 5 hurricane is making a n**ga uncomfortable ,2020-08-27 07:34:31+00:00,0,2,,,
4644,BrussoBryce,Thoughts and prayers go to #Louisiana and #Texas from Massachusetts. #laurahurricane #Laura #HurricaneLaura #hurricane,2020-08-27 07:34:17+00:00,0,2,,#Louisiana #Texas #laurahurricane #Laura #HurricaneLaura #hurricane,
4645,Vanlynlaw,Praying for those in the path of the Hurricane.,2020-08-27 07:33:29+00:00,0,0,,,
4646,duoscottmcon,Landfall Hurricane Laura NWS https://www.weather.gov/lch/,2020-08-27 07:32:47+00:00,0,0,,,
4647,vlonerone,Soooo is this hurricane coming or not?,2020-08-27 07:30:54+00:00,0,1,,,
4648,beateraccount,That hurricane wouldn’t be happening if I was there.,2020-08-27 07:30:44+00:00,1,0,,,
4649,JamesCAMobley7,"https://biblehub.com/job/1-20.htm 27aug2020 AMERICANS&amp;GOD VIEW LINK on BIBLICAL SCRIPTURES why""job""SHAVED HIS HEAD of ALL DA LOSSES by GOD'S PERMISSION 2 SATAN in TEST or WAS""job""BLUE AS THESE BLUE'S AGAINST me MAN-MADE RED in OVER DRAMATIC as CURRENTLY CATASTROPHIC HURRICANE LAURA&amp;COVID19",2020-08-27 07:30:31+00:00,1,0,,,
4650,QuelBossy,When I say this hurricane shit could’ve fooled tf out me!,2020-08-27 07:29:59+00:00,0,0,,,
4651,StormTrackBrian,Laura makes landfall as a strong Cat 4 hurricane. The strongest ever to hit that specific region of East TX/LA. ,2020-08-27 07:29:34+00:00,2,1,,,
4652,MarieKameron,That hurricane is horrible!!!!!!!,2020-08-27 07:28:57+00:00,0,2,,,
4653,BrussoBryce,Not only is there a massive hurricane going on in Louisiana and Texas but they are also dealing with #COVID19. #HurricaneLaura #hurricane #laurahurricane #Laura #coronavirus,2020-08-27 07:27:57+00:00,0,1,,#COVID19 #HurricaneLaura #hurricane #laurahurricane #Laura #coronavirus,
4654,Gin4Dems,Local shelters team up to help animals evacuated ahead of Hurricane Laura ,2020-08-27 07:27:10+00:00,0,2,,,
4655,xavierttg,Fuck outta here Hurricane Chris ,2020-08-27 07:26:37+00:00,1,2,,,
4656,RealCarrotTop,My thoughts and prayers go out to everyone in the path of this hurricane.. my god watch over you and protect you! thanks therandytravis #icon #country music #legend .. Randy week… https://www.instagram.com/p/CEYluRIB2rD/?igshid=19tn0e5jxjfpa,2020-08-27 07:26:05+00:00,1,19,,#icon #country #legend,
4657,jniajmajor18__,i really changed my sheet and shaved my legs for my good hurricane sleep and then weather alerts said no ma’am,2020-08-27 07:26:03+00:00,0,3,,,
4658,shannatexas,Don’t under estimate the power of prayer. Thank you God Hurricane Laura took it easy on us.,2020-08-27 07:25:57+00:00,0,0,,,
4659,neeksGotCheeks_,It really look like lake Charles getting the hurricane we just getting the rain and wind,2020-08-27 07:25:46+00:00,0,2,,,
4660,ClevelandRox,"My mom: ""we gotta open all these windows!"" Me googling 'hurricane windows' results: ""top 5 hurricane myths that can get you killed"".... #laura #HurricaneLaura #laurahurricane",2020-08-27 07:25:34+00:00,1,13,,#laura #HurricaneLaura #laurahurricane,
4661,datfoodporn21,This hurricane was LOL,2020-08-27 07:24:24+00:00,0,1,,,
4662,jkittkat,I honestly think this is her first hurricane report (on the scene). She was pointing to a little dripping water. LOL,2020-08-27 07:24:07+00:00,0,1,,,
4663,hvnnvhrc,Why did they name the Hurricane Laura &amp; not Karen,2020-08-27 07:22:36+00:00,0,1,,,
4664,roketadumas,"Perhaps it’s just me, but I don’t need to see a Meteorologist on location, posted up in the middle of a hurricane, to show what’s going on in real time ... especially after EVERYONE is urged to evacuate. #HurricaneLaura",2020-08-27 07:21:45+00:00,1,15,,#HurricaneLaura,
4665,BrussoBryce,Thoughts and prayers from Boston Massachusetts. Stay safe everyone down there. #HurricaneLaura #laurahurricane #Laura #hurricane #louisiana #texas #weather,2020-08-27 07:21:21+00:00,1,4,,#HurricaneLaura #laurahurricane #Laura #hurricane #louisiana #texas #weather,
4666,RoyalKai1,"Just a lil education. This is the worst hurricane since 1845 , correct me on the year if iam wrong",2020-08-27 07:20:50+00:00,0,0,,,
4667,MrMarcusRomer,"""Hurricane Laura makes landfall in Louisiana as a Category 4 storm"" ",2020-08-27 07:20:39+00:00,0,1,,,
4668,JamesCAMobley7,"27aug2020 AMERICA THESE METEOROLOGIST in TEXAS,LOUISIANA of CATASTROPHIC HURRICANE 4 LAURA is in SIMILARITIES 2 COVID19 EPIDEMIC dats of OVER DRAMATIC as BLUE'S &amp; i james christopher allen mobley CAN ONLY IMAGINE what REAL RED IS""if"" i LIVE or RED IS 2 TAKE me 2 HEAVEN as SUMMONS",2020-08-27 07:19:54+00:00,1,0,,,
4669,iembot_lch,"At 1:42 AM CDT, 3 SW Cameron [Cameron Co, LA] MESONET reports HURRICANE. 106 MPH WIND GUST AND SUSTAINED WINDS TO 86 MPH MEASURED AT CALCASIEU PASS. https://mesonet.agron.iastate.edu/lsr/#LCH/202008270642/202008270642",2020-08-27 07:19:45+00:00,0,1,,,
4670,RoyalKai1,The hurricane has touched down in Opelousas,2020-08-27 07:19:44+00:00,0,0,,,
